epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
25.0000,0.7933,0.5412,0.5122,0.7627,0.5224,0.7783,0.4482,0.4259,0.6933,0.4173,0.5412,0.3988,0.3816,0.7770,0.8981,0.5292,0.5026,0.7290,0.5003,0.5522,0.4377,0.4144,0.7766
26.0000,0.7772,0.6816,0.6625,0.7834,0.6624,0.7896,0.5335,0.5741,0.7345,0.5502,0.5502,0.5862,0.5691,0.8224,0.9028,0.5226,0.5783,0.7208,0.5439,0.5522,0.5082,0.4925,0.8011
27.0000,0.7821,0.7353,0.5888,0.7792,0.6105,0.7892,0.5433,0.5481,0.7414,0.5406,0.5502,0.5863,0.5653,0.8095,0.9049,0.5108,0.4921,0.7249,0.4800,0.5522,0.5949,0.5721,0.7963
28.0000,0.7835,0.7137,0.6451,0.7830,0.6616,0.7830,0.5727,0.5978,0.7607,0.5844,0.5844,0.6230,0.6004,0.8239,0.9090,0.7367,0.6017,0.7331,0.5854,0.5854,0.5423,0.5253,0.8105
29.0000,0.7727,0.7310,0.6593,0.7947,0.6818,0.7711,0.5559,0.5715,0.7455,0.5629,0.5844,0.6152,0.5937,0.8187,0.9132,0.7672,0.6068,0.7593,0.6058,0.6058,0.6637,0.6466,0.8312
30.0000,0.7726,0.7332,0.6205,0.7886,0.6450,0.7704,0.5479,0.5586,0.7455,0.5501,0.5844,0.5994,0.5807,0.8256,0.9129,0.5739,0.5866,0.7607,0.5790,0.6058,0.6491,0.6288,0.8305
31.0000,0.7802,0.7429,0.6464,0.7938,0.6769,0.7708,0.5468,0.5547,0.7428,0.5488,0.5844,0.6005,0.5804,0.8176,0.9140,0.5786,0.5880,0.7634,0.5817,0.6058,0.6233,0.6046,0.8297
32.0000,0.7669,0.7280,0.6614,0.7999,0.6833,0.7729,0.5549,0.5715,0.7455,0.5629,0.5844,0.5585,0.5382,0.8116,0.9118,0.5730,0.5973,0.7620,0.5836,0.6058,0.6315,0.6123,0.8269
33.0000,0.7917,0.7385,0.6872,0.8051,0.7055,0.7731,0.5576,0.5854,0.7483,0.5704,0.5844,0.5583,0.5378,0.8230,0.9112,0.7530,0.6005,0.7497,0.5962,0.6058,0.6624,0.6421,0.8275
34.0000,0.7687,0.7358,0.6634,0.7943,0.6904,0.7702,0.5465,0.5562,0.7400,0.5488,0.5844,0.5797,0.5587,0.8088,0.9145,0.5701,0.5757,0.7593,0.5708,0.6058,0.5871,0.5702,0.8267
35.0000,0.7731,0.7554,0.6753,0.8070,0.6999,0.7714,0.5304,0.5468,0.7276,0.5358,0.5844,0.5485,0.5278,0.8030,0.9146,0.5400,0.5485,0.7373,0.5401,0.6058,0.5569,0.5382,0.7976
36.0000,0.7856,0.7541,0.6623,0.8027,0.6917,0.7709,0.5380,0.5449,0.7373,0.5399,0.5844,0.5837,0.5669,0.8069,0.9152,0.5458,0.5466,0.7414,0.5394,0.6058,0.5628,0.5461,0.7989
37.0000,0.7825,0.7478,0.6714,0.8046,0.6987,0.7703,0.5309,0.5399,0.7304,0.5324,0.5844,0.5409,0.5230,0.8022,0.9152,0.5417,0.5520,0.7428,0.5406,0.6058,0.6015,0.5819,0.7970
38.0000,0.7501,0.7600,0.6973,0.8107,0.7205,0.7693,0.5254,0.5403,0.7249,0.5295,0.5844,0.5465,0.5257,0.7983,0.9152,0.7484,0.5888,0.7483,0.5868,0.6058,0.6396,0.6169,0.8129
39.0000,0.7707,0.7544,0.6836,0.8037,0.7101,0.7689,0.5332,0.5418,0.7359,0.5344,0.5844,0.5887,0.5689,0.8112,0.9163,0.5458,0.5587,0.7428,0.5490,0.6058,0.5649,0.5468,0.8097
40.0000,0.7525,0.7486,0.6796,0.8070,0.7037,0.7709,0.5306,0.5464,0.7304,0.5356,0.5844,0.5530,0.5334,0.7998,0.9137,0.5390,0.5594,0.7428,0.5456,0.6058,0.6138,0.5926,0.7929
41.0000,0.7635,0.7487,0.6713,0.8046,0.6986,0.7697,0.5275,0.5347,0.7304,0.5285,0.5844,0.5702,0.5517,0.8026,0.9151,0.5348,0.5396,0.7359,0.5310,0.6058,0.5452,0.5266,0.7910
42.0000,0.7747,0.7511,0.6801,0.8089,0.7046,0.7698,0.5282,0.5422,0.7276,0.5324,0.5844,0.5530,0.5334,0.7998,0.9140,0.5376,0.5552,0.7400,0.5434,0.6058,0.6152,0.5949,0.7938
43.0000,0.7738,0.7525,0.6843,0.8103,0.7075,0.7696,0.5298,0.5460,0.7290,0.5357,0.5844,0.5360,0.5173,0.7985,0.9136,0.5365,0.5557,0.7400,0.5428,0.6058,0.6196,0.5989,0.7940
44.0000,0.7619,0.7510,0.6750,0.8079,0.7017,0.7691,0.5291,0.5372,0.7318,0.5304,0.5844,0.5767,0.5582,0.8047,0.9146,0.5308,0.5377,0.7345,0.5294,0.6058,0.5461,0.5276,0.7897
45.0000,0.7606,0.7539,0.6805,0.8098,0.7061,0.7690,0.5237,0.5328,0.7290,0.5245,0.5844,0.5717,0.5534,0.8024,0.9144,0.5329,0.5416,0.7387,0.5334,0.6058,0.5503,0.5320,0.7869
