epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
25.0000,0.7815,0.6753,0.5778,0.7698,0.5955,0.7713,0.5578,0.5213,0.7524,0.5273,0.5748,0.6065,0.5860,0.8249,0.9154,0.5843,0.5108,0.7400,0.5277,0.5936,0.5950,0.5748,0.8075
26.0000,0.7791,0.7550,0.6945,0.8197,0.7164,0.7708,0.5791,0.5824,0.7813,0.5785,0.5785,0.5648,0.5474,0.8037,0.9150,0.5851,0.5532,0.7565,0.5569,0.5936,0.5840,0.5634,0.7729
27.0000,0.7722,0.7760,0.7218,0.8234,0.7452,0.7716,0.5661,0.5640,0.7689,0.5641,0.5785,0.5580,0.5418,0.7983,0.9167,0.6338,0.5355,0.7455,0.5461,0.5936,0.5141,0.4962,0.7759
28.0000,0.7764,0.7600,0.7165,0.8234,0.7328,0.7735,0.5730,0.5793,0.7772,0.5754,0.5785,0.5537,0.5383,0.7991,0.9165,0.6331,0.6021,0.7620,0.6080,0.6080,0.5530,0.5344,0.7680
29.0000,0.7734,0.7158,0.6491,0.8258,0.6626,0.7730,0.5673,0.5678,0.7730,0.5668,0.5785,0.4771,0.4621,0.7996,0.9170,0.6318,0.5288,0.7455,0.5422,0.6080,0.5298,0.5100,0.7843
30.0000,0.7691,0.7656,0.7488,0.8310,0.7532,0.7756,0.5657,0.5579,0.7703,0.5614,0.5785,0.5121,0.4981,0.7961,0.9156,0.6315,0.5998,0.7607,0.6077,0.6080,0.5486,0.5288,0.7639
31.0000,0.7828,0.7480,0.6834,0.8329,0.6955,0.7780,0.5641,0.5708,0.7703,0.5583,0.5785,0.5199,0.5025,0.7925,0.9148,0.6366,0.5451,0.7565,0.5506,0.6080,0.5504,0.5305,0.7841
32.0000,0.7679,0.7815,0.7135,0.8413,0.7357,0.7770,0.5550,0.5557,0.7634,0.5553,0.5785,0.5279,0.5115,0.7916,0.9151,0.6259,0.5807,0.7607,0.5843,0.6080,0.5651,0.5473,0.7731
33.0000,0.7642,0.8167,0.7599,0.8456,0.7833,0.7738,0.5585,0.5525,0.7689,0.5552,0.5785,0.5431,0.5276,0.7931,0.9159,0.6386,0.5578,0.7538,0.5723,0.6080,0.5051,0.4851,0.7755
34.0000,0.7731,0.8086,0.7931,0.8512,0.7984,0.7743,0.5623,0.5689,0.7717,0.5633,0.5785,0.5346,0.5177,0.7938,0.9153,0.6316,0.5827,0.7593,0.5953,0.6080,0.5484,0.5289,0.7690
35.0000,0.7660,0.8136,0.7763,0.8564,0.7933,0.7750,0.5532,0.5539,0.7634,0.5532,0.5785,0.5155,0.5000,0.7923,0.9149,0.6401,0.5785,0.7579,0.5926,0.6080,0.5471,0.5281,0.7716
36.0000,0.7398,0.8234,0.7703,0.8569,0.7934,0.7729,0.5598,0.5523,0.7717,0.5556,0.5785,0.5141,0.4983,0.7938,0.9145,0.6395,0.5697,0.7552,0.5871,0.6080,0.5295,0.5078,0.7753
37.0000,0.7648,0.8295,0.7954,0.8625,0.8101,0.7759,0.5582,0.5672,0.7675,0.5617,0.5785,0.5375,0.5205,0.7892,0.9135,0.6475,0.6080,0.7689,0.6155,0.6155,0.5677,0.5493,0.7806
38.0000,0.7723,0.8302,0.7938,0.8635,0.8093,0.7756,0.5559,0.5611,0.7689,0.5581,0.5785,0.5396,0.5224,0.7981,0.9138,0.6335,0.5679,0.7497,0.5841,0.6155,0.5268,0.5060,0.7645
39.0000,0.7540,0.8326,0.7926,0.8630,0.8098,0.7768,0.5576,0.5588,0.7717,0.5581,0.5785,0.5274,0.5112,0.7948,0.9137,0.6372,0.5708,0.7552,0.5883,0.6155,0.5310,0.5120,0.7671
40.0000,0.7601,0.8320,0.7957,0.8663,0.8117,0.7774,0.5521,0.5552,0.7607,0.5536,0.5785,0.5269,0.5108,0.7826,0.9135,0.6372,0.5761,0.7538,0.5911,0.6155,0.5235,0.5052,0.7660
41.0000,0.7703,0.8317,0.8016,0.8668,0.8151,0.7764,0.5504,0.5510,0.7662,0.5500,0.5785,0.5188,0.5027,0.7942,0.9131,0.6586,0.5786,0.7565,0.5959,0.6155,0.5330,0.5141,0.7740
42.0000,0.7571,0.8268,0.8146,0.8677,0.8195,0.7768,0.5466,0.5532,0.7607,0.5496,0.5785,0.5331,0.5162,0.7873,0.9130,0.6440,0.5839,0.7593,0.5980,0.6155,0.5481,0.5274,0.7742
43.0000,0.7488,0.8325,0.8161,0.8682,0.8232,0.7770,0.5509,0.5546,0.7634,0.5527,0.5785,0.5294,0.5130,0.7862,0.9131,0.6426,0.5797,0.7565,0.5961,0.6155,0.5285,0.5080,0.7720
44.0000,0.7766,0.8331,0.8119,0.8701,0.8216,0.7775,0.5512,0.5563,0.7620,0.5537,0.5785,0.5188,0.5029,0.7826,0.9125,0.6426,0.5800,0.7593,0.5967,0.6155,0.5491,0.5306,0.7695
45.0000,0.7533,0.8379,0.8115,0.8734,0.8232,0.7760,0.5541,0.5550,0.7675,0.5544,0.5785,0.5187,0.5021,0.7918,0.9129,0.6479,0.5803,0.7620,0.5996,0.6155,0.5450,0.5245,0.7744
46.0000,0.7549,0.8315,0.8108,0.8719,0.8203,0.7772,0.5460,0.5549,0.7607,0.5502,0.5785,0.4977,0.4808,0.7843,0.9120,0.6425,0.5856,0.7552,0.5987,0.6155,0.5490,0.5301,0.7710
47.0000,0.7519,0.8376,0.8128,0.8729,0.8240,0.7773,0.5460,0.5549,0.7607,0.5502,0.5785,0.4977,0.4808,0.7843,0.9120,0.6416,0.5845,0.7538,0.5977,0.6155,0.5473,0.5270,0.7703
48.0000,0.7646,0.8417,0.8098,0.8743,0.8242,0.7765,0.5483,0.5508,0.7620,0.5494,0.5785,0.5246,0.5081,0.7858,0.9124,0.6461,0.5809,0.7607,0.5992,0.6155,0.5512,0.5303,0.7729
49.0000,0.7699,0.8434,0.8109,0.8752,0.8256,0.7768,0.5507,0.5540,0.7662,0.5523,0.5785,0.5451,0.5287,0.7873,0.9123,0.6452,0.5804,0.7593,0.5985,0.6155,0.5507,0.5299,0.7725
50.0000,0.7584,0.8447,0.8131,0.8781,0.8275,0.7771,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9121,0.6469,0.5826,0.7620,0.6005,0.6155,0.5595,0.5387,0.7755
51.0000,0.7621,0.8425,0.8138,0.8757,0.8270,0.7778,0.5492,0.5552,0.7620,0.5522,0.5785,0.5180,0.5002,0.7837,0.9119,0.6468,0.5847,0.7607,0.6015,0.6155,0.5523,0.5317,0.7748
52.0000,0.7730,0.8452,0.8154,0.8790,0.8289,0.7774,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9120,0.6469,0.5826,0.7620,0.6005,0.6155,0.5595,0.5387,0.7755
53.0000,0.7569,0.8440,0.8127,0.8776,0.8270,0.7773,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9120,0.6469,0.5826,0.7620,0.6005,0.6155,0.5595,0.5387,0.7755
54.0000,0.7418,0.8459,0.8142,0.8795,0.8286,0.7773,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9121,0.6477,0.5831,0.7634,0.6012,0.6155,0.5600,0.5392,0.7759
55.0000,0.7624,0.8453,0.8152,0.8790,0.8289,0.7776,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9119,0.6460,0.5821,0.7607,0.5999,0.6155,0.5572,0.5364,0.7742
56.0000,0.7470,0.8458,0.8159,0.8795,0.8295,0.7776,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9119,0.6460,0.5821,0.7607,0.5999,0.6155,0.5572,0.5364,0.7742
57.0000,0.7597,0.8448,0.8152,0.8785,0.8288,0.7777,0.5492,0.5546,0.7620,0.5518,0.5785,0.5139,0.4961,0.7834,0.9118,0.6451,0.5821,0.7593,0.5996,0.6155,0.5614,0.5410,0.7729
58.0000,0.7546,0.8452,0.8146,0.8785,0.8286,0.7777,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6468,0.5832,0.7620,0.6009,0.6155,0.5618,0.5413,0.7753
59.0000,0.7629,0.8466,0.8153,0.8804,0.8296,0.7776,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9119,0.6477,0.5831,0.7634,0.6012,0.6155,0.5600,0.5392,0.7759
60.0000,0.7597,0.8469,0.8157,0.8804,0.8299,0.7776,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9119,0.6477,0.5831,0.7634,0.6012,0.6155,0.5600,0.5392,0.7759
61.0000,0.7654,0.8466,0.8153,0.8804,0.8296,0.7776,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6492,0.5842,0.7648,0.6026,0.6155,0.5662,0.5452,0.7781
62.0000,0.7514,0.8466,0.8153,0.8804,0.8296,0.7776,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6483,0.5837,0.7634,0.6020,0.6155,0.5662,0.5452,0.7757
63.0000,0.7420,0.8476,0.8168,0.8814,0.8308,0.7777,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6469,0.5826,0.7620,0.6005,0.6155,0.5600,0.5392,0.7735
64.0000,0.7655,0.8473,0.8172,0.8814,0.8309,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6467,0.5837,0.7620,0.6012,0.6155,0.5654,0.5451,0.7740
65.0000,0.7637,0.8475,0.8170,0.8814,0.8309,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6484,0.5848,0.7648,0.6025,0.6155,0.5683,0.5478,0.7757
66.0000,0.7611,0.8473,0.8172,0.8814,0.8309,0.7778,0.5499,0.5551,0.7634,0.5525,0.5785,0.5139,0.4961,0.7852,0.9117,0.6476,0.5842,0.7634,0.6018,0.6155,0.5659,0.5455,0.7744
67.0000,0.7560,0.8471,0.8168,0.8809,0.8306,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6484,0.5848,0.7648,0.6025,0.6155,0.5683,0.5478,0.7757
68.0000,0.7643,0.8471,0.8168,0.8809,0.8306,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6484,0.5848,0.7648,0.6025,0.6155,0.5683,0.5478,0.7757
69.0000,0.7381,0.8473,0.8172,0.8814,0.8309,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6484,0.5848,0.7648,0.6025,0.6155,0.5683,0.5478,0.7757
70.0000,0.7688,0.8468,0.8164,0.8809,0.8303,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6484,0.5848,0.7648,0.6025,0.6155,0.5683,0.5478,0.7757
71.0000,0.7685,0.8468,0.8164,0.8809,0.8303,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6484,0.5848,0.7648,0.6025,0.6155,0.5683,0.5478,0.7757
72.0000,0.7706,0.8468,0.8164,0.8809,0.8303,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6499,0.5858,0.7662,0.6039,0.6155,0.5745,0.5538,0.7778
73.0000,0.7702,0.8468,0.8164,0.8809,0.8303,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6499,0.5858,0.7662,0.6039,0.6155,0.5745,0.5538,0.7778
74.0000,0.7687,0.8466,0.8161,0.8804,0.8300,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6499,0.5858,0.7662,0.6039,0.6155,0.5745,0.5538,0.7778
