epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
25.0000,0.8045,0.6199,0.5681,0.6996,0.5631,0.8000,0.4827,0.5057,0.6823,0.4719,0.5256,0.4412,0.4274,0.7555,0.8867,0.4964,0.5235,0.6754,0.4895,0.5277,0.3821,0.3687,0.7342
26.0000,0.8803,0.4680,0.5377,0.6328,0.4830,0.8768,0.5055,0.5613,0.6575,0.5197,0.5256,0.5463,0.5224,0.8086,0.8785,0.3843,0.4383,0.4209,0.3599,0.5277,0.4793,0.4684,0.7591
27.0000,0.7877,0.5394,0.4870,0.7552,0.5066,0.7781,0.4936,0.4734,0.7180,0.4727,0.5256,0.4581,0.4391,0.7843,0.8984,0.5326,0.4986,0.7208,0.4927,0.5277,0.4996,0.4836,0.7645
28.0000,0.8265,0.7402,0.5095,0.7349,0.5181,0.8007,0.5260,0.4867,0.7125,0.4958,0.5256,0.4931,0.4733,0.8228,0.8927,0.5180,0.4595,0.7070,0.4687,0.5277,0.5672,0.5504,0.8060
29.0000,0.8138,0.7472,0.5197,0.7608,0.5443,0.7824,0.5060,0.4823,0.7235,0.4875,0.5256,0.4412,0.4191,0.7794,0.8984,0.5084,0.4771,0.7139,0.4803,0.5277,0.5742,0.5551,0.7839
30.0000,0.8058,0.5203,0.5532,0.7509,0.5081,0.7943,0.5583,0.5742,0.7510,0.5605,0.5605,0.6543,0.6309,0.8400,0.8988,0.5955,0.6146,0.7235,0.5918,0.5918,0.5415,0.5237,0.7871
31.0000,0.8000,0.5343,0.4374,0.7524,0.4213,0.7977,0.3840,0.4553,0.7153,0.4084,0.5605,0.6497,0.6297,0.8247,0.8934,0.4978,0.4302,0.6946,0.4154,0.5918,0.5740,0.5557,0.7800
32.0000,0.7995,0.7549,0.5572,0.7721,0.5667,0.7816,0.5152,0.5018,0.7263,0.5058,0.5605,0.5078,0.4919,0.7935,0.9001,0.5260,0.5503,0.7221,0.5284,0.5918,0.5215,0.5042,0.7720
33.0000,0.7920,0.7340,0.5817,0.7627,0.5608,0.7902,0.5701,0.5869,0.7634,0.5728,0.5728,0.7097,0.6871,0.8477,0.9001,0.5456,0.5844,0.7400,0.5546,0.5918,0.5493,0.5308,0.8292
34.0000,0.7930,0.7546,0.5091,0.7665,0.5303,0.7847,0.5023,0.4816,0.7208,0.4689,0.5728,0.5510,0.5290,0.7942,0.8983,0.5090,0.4719,0.7098,0.4662,0.5918,0.5866,0.5696,0.7862
35.0000,0.7839,0.7450,0.5761,0.7773,0.5836,0.7830,0.5152,0.5109,0.7345,0.5046,0.5728,0.5720,0.5540,0.8028,0.8998,0.5252,0.5327,0.7276,0.5183,0.5918,0.5335,0.5135,0.7725
36.0000,0.7758,0.7688,0.6144,0.7830,0.6340,0.7844,0.5380,0.5368,0.7387,0.5365,0.5728,0.6073,0.5897,0.8316,0.8997,0.5344,0.5429,0.7318,0.5322,0.5918,0.5936,0.5736,0.8215
37.0000,0.7790,0.7723,0.6134,0.7928,0.6303,0.7818,0.5290,0.5252,0.7400,0.5225,0.5728,0.6020,0.5828,0.8047,0.8994,0.5245,0.5299,0.7263,0.5190,0.5918,0.5328,0.5137,0.7778
38.0000,0.7851,0.7750,0.5944,0.7867,0.6143,0.7800,0.5152,0.5072,0.7235,0.5043,0.5728,0.5309,0.5147,0.8125,0.8993,0.5200,0.5144,0.7235,0.5081,0.5918,0.5709,0.5537,0.7957
39.0000,0.7913,0.7640,0.6258,0.7844,0.6407,0.7803,0.5491,0.5622,0.7552,0.5537,0.5728,0.6296,0.6083,0.8340,0.9006,0.5408,0.5559,0.7400,0.5442,0.5918,0.5981,0.5778,0.8280
40.0000,0.7849,0.7749,0.5929,0.7867,0.6149,0.7811,0.5332,0.5280,0.7455,0.5272,0.5728,0.5850,0.5666,0.8127,0.9002,0.5157,0.5055,0.7208,0.5028,0.5918,0.5478,0.5313,0.7970
41.0000,0.7879,0.7725,0.5959,0.7858,0.6159,0.7811,0.5258,0.5231,0.7400,0.5175,0.5728,0.5418,0.5243,0.8097,0.9002,0.5219,0.5209,0.7263,0.5144,0.5918,0.5287,0.5120,0.8013
42.0000,0.7795,0.7753,0.6364,0.7900,0.6595,0.7810,0.5435,0.5522,0.7524,0.5454,0.5728,0.5834,0.5645,0.8359,0.9005,0.5461,0.5672,0.7442,0.5531,0.5918,0.5658,0.5454,0.8325
43.0000,0.7915,0.7792,0.6345,0.7924,0.6603,0.7804,0.5415,0.5445,0.7483,0.5416,0.5728,0.6064,0.5883,0.8424,0.9004,0.5375,0.5472,0.7373,0.5393,0.5918,0.6519,0.6316,0.8355
44.0000,0.7641,0.7792,0.6155,0.7886,0.6524,0.7813,0.5211,0.5110,0.7359,0.5111,0.5728,0.5515,0.5334,0.8049,0.8995,0.5137,0.5042,0.7208,0.5025,0.5918,0.5468,0.5303,0.7970
45.0000,0.7953,0.7771,0.6373,0.7933,0.6611,0.7802,0.5440,0.5477,0.7524,0.5446,0.5728,0.5886,0.5704,0.8426,0.9001,0.5375,0.5443,0.7387,0.5388,0.5918,0.6467,0.6280,0.8353
46.0000,0.7725,0.7790,0.6337,0.7924,0.6591,0.7803,0.5365,0.5376,0.7414,0.5355,0.5728,0.5837,0.5657,0.8422,0.9003,0.5334,0.5359,0.7331,0.5323,0.5918,0.6092,0.5915,0.8318
47.0000,0.7855,0.7811,0.6343,0.7924,0.6616,0.7809,0.5346,0.5324,0.7428,0.5294,0.5728,0.5656,0.5480,0.8217,0.9000,0.5312,0.5312,0.7318,0.5286,0.5918,0.5689,0.5519,0.8222
