epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
25.0000,0.7853,0.5837,0.6357,0.7952,0.6055,0.7902,0.5042,0.5236,0.6836,0.5071,0.5071,0.7138,0.7031,0.8323,0.8946,0.5067,0.5515,0.6836,0.5216,0.5306,0.6420,0.6260,0.8234
26.0000,0.7725,0.5939,0.6299,0.8140,0.6103,0.7802,0.4944,0.5029,0.6878,0.4940,0.5071,0.6117,0.5990,0.8174,0.8894,0.5162,0.5350,0.6974,0.5198,0.5306,0.6532,0.6383,0.8185
27.0000,0.7556,0.6144,0.6366,0.8333,0.6235,0.7758,0.4962,0.4969,0.7015,0.4931,0.5071,0.6431,0.6286,0.8153,0.8926,0.5168,0.5445,0.7043,0.5252,0.5306,0.6638,0.6497,0.8209
28.0000,0.7879,0.6170,0.6243,0.8267,0.6152,0.7832,0.5042,0.4824,0.7235,0.4894,0.5071,0.5762,0.5630,0.8213,0.8951,0.5072,0.4896,0.7111,0.4937,0.5306,0.5788,0.5629,0.8239
29.0000,0.7897,0.6082,0.6152,0.8263,0.6100,0.7783,0.4984,0.4825,0.7056,0.4864,0.5071,0.5947,0.5791,0.8241,0.8920,0.5058,0.4892,0.7125,0.4934,0.5306,0.5547,0.5426,0.8058
30.0000,0.7578,0.6179,0.6503,0.8380,0.6281,0.7727,0.5155,0.5242,0.7345,0.5192,0.5192,0.6429,0.6293,0.8271,0.8956,0.5320,0.5358,0.7359,0.5323,0.5323,0.6149,0.5987,0.8249
31.0000,0.7629,0.6075,0.6023,0.8220,0.5988,0.7833,0.4767,0.4575,0.6864,0.4597,0.5192,0.4060,0.3924,0.7918,0.8905,0.4807,0.4481,0.7043,0.4553,0.5323,0.5496,0.5355,0.7892
32.0000,0.7743,0.6197,0.6401,0.8376,0.6259,0.7704,0.5212,0.5139,0.7373,0.5150,0.5192,0.6132,0.6013,0.8301,0.8975,0.5277,0.5261,0.7359,0.5244,0.5323,0.5672,0.5538,0.8249
33.0000,0.7617,0.6230,0.6493,0.8446,0.6331,0.7728,0.4931,0.4869,0.7015,0.4883,0.5192,0.6505,0.6374,0.8273,0.8971,0.5201,0.5133,0.7318,0.5149,0.5323,0.5553,0.5425,0.8265
34.0000,0.7621,0.6276,0.6486,0.8465,0.6341,0.7731,0.4977,0.4862,0.7084,0.4895,0.5192,0.6745,0.6585,0.8185,0.8982,0.5236,0.5138,0.7331,0.5159,0.5323,0.4954,0.4829,0.8209
35.0000,0.7547,0.6277,0.6512,0.8460,0.6354,0.7726,0.5081,0.4999,0.7290,0.5029,0.5192,0.6676,0.6548,0.8404,0.9000,0.5244,0.5180,0.7331,0.5196,0.5323,0.5644,0.5508,0.8292
36.0000,0.7473,0.6274,0.6487,0.8498,0.6361,0.7781,0.4949,0.4848,0.7056,0.4877,0.5192,0.6441,0.6301,0.8230,0.8979,0.5108,0.4967,0.7221,0.4998,0.5323,0.5361,0.5242,0.8099
37.0000,0.7506,0.7290,0.6555,0.8508,0.6485,0.7755,0.4944,0.4840,0.7111,0.4878,0.5192,0.6497,0.6377,0.8297,0.8984,0.5272,0.5164,0.7331,0.5196,0.5323,0.5308,0.5182,0.8269
38.0000,0.7585,0.7326,0.6608,0.8522,0.6518,0.7736,0.4969,0.4873,0.7125,0.4908,0.5192,0.6227,0.6098,0.8295,0.8993,0.5307,0.5217,0.7345,0.5242,0.5323,0.5619,0.5482,0.8290
39.0000,0.7688,0.6320,0.6641,0.8555,0.6452,0.7750,0.5005,0.4931,0.7166,0.4954,0.5192,0.6655,0.6512,0.8323,0.8992,0.5412,0.5376,0.7469,0.5373,0.5373,0.6074,0.5936,0.8344
40.0000,0.7617,0.6295,0.6463,0.8508,0.6346,0.7803,0.5007,0.4879,0.7153,0.4926,0.5192,0.6470,0.6335,0.8303,0.8978,0.5055,0.4831,0.7249,0.4899,0.5373,0.5815,0.5672,0.7944
41.0000,0.7648,0.6320,0.6644,0.8564,0.6450,0.7731,0.5000,0.4931,0.7166,0.4952,0.5192,0.6561,0.6418,0.8295,0.9001,0.5249,0.5173,0.7387,0.5168,0.5373,0.5705,0.5589,0.8170
